"Year","Province_Code","Kabupaten_Code","Link_No","ChainageFrom","ChainageTo","DRP_From","Offset_From","DRP_To","Offset_To","Roughness","Bleeding_area","Ravelling_area","Desintegration_area","CrackDep_area","Patching_area","OthCrack_area","Pothole_area","Rutting_area","EdgeDamage_area","Crossfall_area","Depressions_area","Erosion_area","Waviness_area","GravelThickness_area","Concrete_Cracking_area","Concrete_Spalling_area","Concrete_StructuralCracking_area","Concrete_CornerBreakNo","Concrete_PumpingNo","Concrete_Blowouts_area","Crack_Width","Pothole_Count","Rutting_Depth","Shoulder_L","Shoulder_R","Drain_L","Drain_R","Slope_L","Slope_R","FootPath_L","FootPath_R","Sign_L","Sign_R","GuidePost_L","GuidePost_R","Barrier_L","Barrier_R","RoadMarking_L","RoadMarking_R","IRI","RCI","AnalysisBaseYear","SegmentTTI","SurveyBy","Paved","Pavement","CheckData","Composition","CrackType","PotholeSize","ShouldCond_L","ShouldCond_R","CrossfallShape","GravelSize","GravelThickness","Distribution","EdgeDamage_area_R","SurveyBy2","SurveyDate","SectionStatus"
2023,"35","09","350900001227",6800,6900,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","2","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",6900,7000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","2","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7000,7100,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","2","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7100,7200,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","2","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7200,7300,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","3","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7300,7400,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",5.00,"1","5","5","3","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,2.00,"3","",,,,,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7400,7500,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","5","5","3","1","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"3","",,,,,18.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7500,7600,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,,10.00,"1","4","5","3","2","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",0,"Unpaved",0,,,5.00,"3","",1.00,1.00,1.00,1.00,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001227",7600,7625,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,,0.00,"1","4","5","3","2","2","2","3","3",0,0,0,0,0.00,0.00,0,0,,,1,,"pena p",0,"Unpaved",0,,,1.00,"3","",1.00,1.00,1.00,1.00,0.00,"pena l",12/5/2023 10:27:44,0.00
2023,"35","09","350900001230",0,100,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,"1",0.00,"1","4","5","2","1","2","2","3","3",0,0,1,0,0.00,0.00,0,0,,,1,,"pena p",1,"Asphalt",0,2.00,1.00,1.00,"2","",,,,,0.00,"pena l",12/5/2023 13:09:34,0.00
